x, y, alpha, beta, gamma, rx, ry, rz
8,3,141.064, 131.587, 26.9369, 0.162675, -0.259695, 0.704035
8,4,137.135, 125.436, 25.0187, 0.177384, -0.220142, 0.696084
8,5,135.037, 119.846, 26.9749, 0.184862, -0.200165, 0.71725
8,6,134.577, 113.787, 25.3154, 0.182584, -0.177719, 0.700814
8,7,134.847, 108.31, 27.3008, 0.177776, -0.168853, 0.713088
8,8,134.537, 101.792, 27.5066, 0.170692, -0.15046, 0.706602
8,9,133.055, 96.8245, 27.201, 0.163092, -0.128166, 0.690962
8,10,133.882, 90.7575, 28.571, 0.149759, -0.118695, 0.682982
8,11,131.815, 86.2126, 26.3542, 0.145521, -0.0977633, 0.670157
8,12,133.372, 79.8577, 28.1308, 0.130944, -0.0949639, 0.673351
8,13,133.658, 75.8629, 26.5273, 0.121611, -0.0871061, 0.657586
8,14,132.066, 74.5525, 23.5526, 0.121264, -0.0751494, 0.636326
9,0,124.665, 136.219, 16.5357, 0.225462, -0.16803, 0.643155
9,1,126.748, 137.975, 24.6051, 0.210466, -0.197094, 0.704092
9,2,132.538, 135.19, 26.5843, 0.188869, -0.224718, 0.713437
9,3,133.905, 130.606, 28.4116, 0.186734, -0.225442, 0.731376
9,4,130.562, 125.135, 25.4887, 0.196529, -0.186207, 0.711172
9,5,127.211, 119.906, 20.3579, 0.211456, -0.14737, 0.678866
9,6,128.356, 114.129, 22.944, 0.199588, -0.142208, 0.690745
9,7,127.502, 108.557, 20.3726, 0.199232, -0.120609, 0.670698
9,8,127.383, 101.958, 20.8138, 0.187407, -0.104434, 0.663927
9,9,126.689, 98.1585, 27.2693, 0.174027, -0.0982207, 0.693201
9,10,126.528, 91.1744, 27.5083, 0.159112, -0.0822697, 0.680892
9,11,126.001, 87.9201, 21.2138, 0.160203, -0.0680687, 0.647254
9,12,126.035, 80.2434, 27.206, 0.13495, -0.0604247, 0.662847
9,13,125.249, 73.8831, 26.2584, 0.121421, -0.0478129, 0.650564
9,14,124.425, 76.8821, 18.2195, 0.133892, -0.0412151, 0.607592
10,0,117.398, 138.29, 18.0031, 0.24216, -0.133303, 0.662813
10,1,119.629, 135.996, 21.0945, 0.229338, -0.144271, 0.682587
10,2,122.587, 132.671, 24.9785, 0.216397, -0.158592, 0.711179
10,3,124.169, 129.293, 28.4597, 0.212959, -0.165593, 0.741077
10,4,122.718, 124.02, 26.4099, 0.213284, -0.139564, 0.723974
10,5,123.315, 119.789, 25.9028, 0.21448, -0.132876, 0.724812
10,6,123.326, 114.52, 23.8826, 0.206649, -0.115622, 0.697438
10,7,124.393, 109.104, 25.7708, 0.196981, -0.1101, 0.702271
10,8,123.394, 103.322, 23.4525, 0.187677, -0.0885135, 0.675898
10,9,121.828, 97.5695, 25.1463, 0.174423, -0.0691136, 0.673689
10,10,121.101, 91.9014, 24.7998, 0.16249, -0.0540528, 0.661729
10,11,120.621, 86.7355, 24.9061, 0.151034, -0.0432508, 0.65508
10,12,120.102, 80.1123, 25.787, 0.133618, -0.0327509, 0.648264
10,13,119.568, 75.1557, 22.6624, 0.123481, -0.0223073, 0.624714
10,14,120.002, 74.4102, 16.7432, 0.127329, -0.0183474, 0.597138
11,0,112.74, 138.466, 25.1688, 0.242062, -0.116108, 0.723309
11,1,112.647, 133.545, 18.5713, 0.243266, -0.0917548, 0.664911
11,2,112.6, 131.761, 21.8217, 0.235867, -0.0914581, 0.6896
11,3,115.351, 128.581, 27.6415, 0.230049, -0.109145, 0.741695
11,4,115.799, 121.913, 27.2848, 0.22114, -0.0926471, 0.726959
11,5,116.172, 119.232, 20.2787, 0.225526, -0.0797865, 0.674865
11,6,116.961, 113.648, 23.2672, 0.208623, -0.0744905, 0.682109
11,7,117.35, 108.234, 22.3013, 0.199044, -0.0637088, 0.667725
11,8,116.293, 102.725, 22.2306, 0.187034, -0.0462545, 0.655154
11,9,115.304, 98.5032, 26.1324, 0.175488, -0.0359606, 0.672278
11,10,115.154, 91.4595, 20.7782, 0.163393, -0.0189369, 0.629151
11,11,114.864, 87.8184, 27.38, 0.14971, -0.0178734, 0.662663
11,12,114.354, 79.6172, 27.4738, 0.128238, -0.00683082, 0.647481
11,13,113.731, 72.8521, 25.0303, 0.110939, 0.0026627, 0.621261
11,14,114.024, 72.4832, 17.974, 0.115331, 0.00619449, 0.589036
12,0,103.611, 138.711, 25.0843, 0.242405, -0.0565187, 0.705347
12,1,103.635, 136.923, 18.3341, 0.248153, -0.0436567, 0.654398
12,2,104.099, 131.542, 17.9233, 0.245038, -0.0330953, 0.655637
12,3,107.227, 127.335, 23.1365, 0.230348, -0.0489506, 0.69056
12,4,109.51, 121.459, 25.3696, 0.219432, -0.0509689, 0.701619
12,5,110.864, 116.224, 24.2744, 0.211503, -0.0451564, 0.685019
12,6,112.691, 110.875, 25.8681, 0.199375, -0.0438049, 0.68085
12,7,112.958, 108.151, 18.449, 0.20504, -0.0337403, 0.639885
12,8,112.184, 101.677, 17.9656, 0.186895, -0.016534, 0.616786
12,9,110.024, 98.4568, 22.7353, 0.172678, -0.00506178, 0.639419
12,10,109.779, 92.7513, 24.0367, 0.157502, 0.00252686, 0.639161
12,11,109.131, 86.8626, 26.1902, 0.140606, 0.0102724, 0.640949
12,12,108.422, 79.6914, 25.4502, 0.121699, 0.0189687, 0.625263
12,13,106.379, 73.1155, 20.0546, 0.105497, 0.0336292, 0.588035
12,14,105.612, 75.3846, 19.423, 0.111472, 0.0371157, 0.585078
13,0,91.7928, 138.037, 19.9748, 0.234112, 0.0251068, 0.643213
13,1,94.725, 136.833, 18.8294, 0.243048, 0.0122928, 0.648345
13,2,95.5349, 131.515, 18.6156, 0.232402, 0.0194466, 0.636346
13,3,98.9942, 125.704, 21.862, 0.221828, 0.00739218, 0.660353
13,4,102.756, 119.853, 26.401, 0.213273, -0.00639696, 0.695582
13,5,103.41, 115.056, 23.6375, 0.204631, 0.00144443, 0.667242
13,6,105.094, 110.524, 25.7925, 0.19761, -0.000362848, 0.683595
13,7,106.233, 106.646, 20.344, 0.19222, 0.00401062, 0.637789
13,8,105.131, 101.155, 18.231, 0.179317, 0.0206816, 0.611288
13,9,104.367, 99.0948, 25.634, 0.165566, 0.0215896, 0.645543
13,10,103.478, 93.1527, 24.1882, 0.150706, 0.0328272, 0.63004
13,11,103.499, 88.4707, 27.2272, 0.136841, 0.0351953, 0.636512
13,12,103.661, 81.1909, 27.5386, 0.118042, 0.0382494, 0.625264
13,13,101.513, 75.8006, 24.4173, 0.101331, 0.0490643, 0.597826
13,14,99.8377, 71.8564, 26.62, 0.0871928, 0.0544052, 0.59524
14,0,93.1228, 135.095, 27.0415, 0.230983, 0.0183988, 0.705335
14,1,88.0846, 134.093, 23.39, 0.219116, 0.0537496, 0.656162
14,2,89.217, 132.486, 24.5941, 0.216766, 0.0500062, 0.663009
14,3,94.8276, 123.105, 19.4703, 0.212587, 0.0400414, 0.628478
14,4,97.1298, 119.237, 24.9614, 0.204053, 0.0293614, 0.666102
14,5,99.4893, 114.606, 18.3826, 0.203239, 0.0287405, 0.622414
14,6,98.9119, 110.817, 24.4798, 0.185969, 0.033292, 0.644141
14,7,102.904, 107.87, 18.1111, 0.195113, 0.0226043, 0.622214
14,8,98.8941, 101.227, 18.0453, 0.169406, 0.0515283, 0.602704
14,9,98.6277, 98.7173, 25.1895, 0.156744, 0.0512364, 0.635676
14,10,101.818, 91.94, 20.0533, 0.149842, 0.0456161, 0.60789
14,11,97.3854, 89.4609, 22.7079, 0.132499, 0.0652598, 0.608599
14,12,99.3881, 83.6412, 25.331, 0.117901, 0.0559007, 0.610937
14,13,96.812, 78.3478, 26.0065, 0.0970553, 0.0659716, 0.594641
14,14,96.2101, 75.1667, 18.5031, 0.0940238, 0.0726602, 0.567561
