x,y,beta, gamma, rx, ry
0,0,92.6107, 75.7731, 165.193, 348.864
0,1,92.0333, 85.1451, 184.685, 352.909
0,2,91.8266, 95.0625, 206.145, 352.847
0,3,91.5981, 104.219, 225.921, 350.519
0,4,91.8277, 111.456, 241.827, 344.404
0,5,90.6651, 120.399, 257.58, 340.587
0,6,88.3753, 129.021, 269.806, 340.373
0,7,90.4529, 129.582, 275, 329.908
0,8,94.0311, 126.647, 275.715, 317.626
0,9,102.806, 116.338, 264.938, 291.223
0,10,120.305, 93.5407, 237.835, 241.834
0,11,128.96, 80.5064, 220.176, 219.551
0,12,130.838, 74.8347, 209.392, 217.576
0,13,134.606, 75.0998, 209.745, 203.227
0,14,138.281, 72.7931, 204.075, 191.757
1,0,95.8204, 77.4022, 175.777, 339.502
1,1,94.6133, 84.8624, 189.646, 343.977
1,2,94.4323, 93.1177, 207.532, 344.149
1,3,94.2026, 101.27, 224.94, 341.513
1,4,94.421, 108.426, 241.123, 336.36
1,5,93.412, 116.986, 256.46, 332.085
1,6,92.1369, 125.452, 270.158, 327.447
1,7,91.8018, 132.11, 281.744, 319.257
1,8,95.805, 126.879, 278.003, 308.506
1,9,105.484, 115.038, 267.111, 280.51
1,10,119.278, 97.2942, 245.931, 241.552
1,11,127.484, 85.8679, 230.076, 219.603
1,12,131.315, 80.6621, 220.751, 209.75
1,13,135.251, 77.9478, 215.043, 197.605
1,14,139.463, 74.8543, 207.836, 185.363
2,0,98.7839, 78.8546, 184.96, 330.34
2,1,97.7373, 84.9993, 196.421, 333.212
2,2,97.2325, 92.4339, 211.819, 333.398
2,3,97.0465, 100.371, 228.785, 330.25
2,4,97.3821, 107.411, 244.762, 324.26
2,5,96.2429, 115.735, 258.973, 320.19
2,6,95.5491, 124.077, 273.567, 313.081
2,7,95.7362, 128.959, 282.974, 305.588
2,8,100.191, 123.62, 278.713, 292.649
2,9,109.299, 111.935, 268.546, 267.206
2,10,119.176, 99.9538, 252.907, 238.331
2,11,125.969, 90.7681, 240.443, 220.07
2,12,130.708, 85.7555, 231.095, 206.323
2,13,135.396, 81.2785, 221.534, 193.07
2,14,139.88, 77.0366, 211.705, 181.314
3,0,101.742, 80.098, 193.345, 320.255
3,1,101.19, 85.0548, 203.522, 321.605
3,2,100.462, 91.6362, 216.809, 322.413
3,3,100.08, 99.5169, 233.021, 319.003
3,4,99.7811, 108.438, 251.135, 312.672
3,5,99.1906, 116.54, 265.944, 305.973
3,6,98.8706, 123.286, 277.829, 298.815
3,7,99.7399, 125.21, 282.357, 292.236
3,8,104.382, 120.524, 279.353, 277.574
3,9,111.888, 111.502, 269.624, 255.466
3,10,120.084, 100.943, 256.691, 232.323
