x,y,beta, gamma, rx, ry
3,11,125.89, 94.1648, 246.398, 216.035
3,12,130.882, 89.1376, 237.194, 201.045
3,13,135.762, 84.7032, 227.76, 186.916
3,14,140.572, 80.4995, 217.471, 174.112
4,0,105.036, 76.8024, 192.086, 309.352
4,1,104.343, 83.4802, 205.642, 310.94
4,2,103.456, 90.6554, 219.633, 311.258
4,3,102.562, 99.3976, 236.624, 308.473
4,4,102.618, 108.07, 254.807, 300.607
4,5,100.742, 119.627, 273.292, 293.74
4,6,99.2231, 129.769, 289.159, 286.381
4,7,102.437, 125.579, 285.91, 278.208
4,8,107.895, 119.275, 280.447, 262.32
4,9,114.667, 110.963, 272.122, 243.044
4,10,120.88, 103.654, 261.294, 224.984
4,11,126.905, 96.5911, 249.868, 207.971
4,12,131.691, 91.9003, 241.434, 193.578
4,13,136.61, 87.3088, 231.655, 179.382
4,14,140.83, 83.5683, 222.797, 167.95
5,0,108.134, 76.5814, 196.141, 299.439
5,1,106.092, 83.7867, 208.839, 303.98
5,2,104.983, 92.7462, 226.55, 304.215
5,3,104.524, 100.763, 242.464, 299.917
5,4,103.994, 110.328, 260.84, 291.586
5,5,102.702, 121.519, 279.292, 281.659
5,6,101.816, 129.953, 292.942, 273.296
5,7,105.182, 125.714, 289.565, 264.756
5,8,110.73, 119.241, 283.319, 248.497
5,9,117.24, 111.59, 273.778, 229.547
5,10,123.349, 104.047, 263.21, 212.836
5,11,127.551, 100.416, 256.294, 198.938
5,12,132.675, 94.837, 245.464, 184.617
5,13,137.096, 90.405, 236.079, 172.347
5,14,139.782, 87.8761, 230.273, 165.017
6,0,109.107, 81.0945, 207.434, 294.668
6,1,108.127, 86.5151, 217.869, 295.017
6,2,107.095, 94.1685, 232.599, 294.042
6,3,106.073, 102.973, 248.834, 289.924
6,4,105.186, 113.713, 268.517, 281.199
6,5,104.377, 124.567, 286.227, 268.575
6,6,103.874, 131.345, 297.446, 260.504
6,7,107.778, 125.966, 291.532, 250.912
6,8,114.063, 118.003, 283.1, 234.011
6,9,119.478, 111.923, 275.855, 217.72
6,10,124.369, 106.909, 267.862, 202.816
6,11,128.82, 102.616, 260.101, 189.107
6,12,133.004, 99.1001, 252.057, 175.803
6,13,136.776, 94.7982, 243.379, 166.069
6,14,139.786, 92.6547, 237.678, 156.37
7,0,109.773, 85.4523, 218.339, 290.1
7,1,109.643, 90.2545, 228.549, 287.444
7,2,109.407, 96.1446, 240.655, 283.933
7,3,108.548, 104.567, 255.438, 277.665
7,4,107.635, 115.752, 274.413, 266.464
7,5,106.794, 126.274, 291.155, 253.96
7,6,106.359, 131.573, 299.308, 247.288
7,7,110.046, 127.057, 294.365, 237.224
7,8,115.463, 120.238, 286.979, 222.812
7,9,120.283, 114.858, 279.884, 208.57
7,10,125.028, 109.959, 272.265, 194.081
7,11,129.573, 105.705, 263.87, 179.933
7,12,133.928, 101.799, 255.506, 166.503
7,13,137.814, 98.004, 246.683, 156.272
7,14,141.758, 93.8477, 237.289, 147.338
8,0,110.669, 89.2522, 227.439, 283.882
8,1,110.513, 93.8633, 237.011, 280.946
8,2,110.196, 99.4241, 248.338, 277.673
8,3,109.963, 105.821, 260.327, 271.35
8,4,109.555, 115.954, 277.46, 258.365
8,5,108.965, 126.485, 293.424, 243.28
8,6,108.177, 132.952, 302.317, 235.298
8,7,111.385, 129.565, 298.273, 225.382
8,8,115.829, 123.794, 291.699, 214.002
8,9,120.607, 118.272, 284.583, 200.391
8,10,125.46, 113.336, 276.128, 185.502
8,11,130.147, 109.24, 268.248, 170.667
8,12,134.503, 105.42, 259.752, 157.358
8,13,138.654, 101.737, 250.571, 145.604
8,14,141.846, 98.2812, 242.964, 138.71
9,0,113.152, 91.8723, 235.69, 272.275
9,1,112.858, 95.6266, 243.091, 270.017
9,2,112.292, 100.275, 251.811, 267.472
9,3,111.771, 106.188, 262.112, 262.09
9,4,110.964, 115.863, 277.424, 250.809
9,5,110.479, 126.795, 293.865, 234.503
9,6,110.7, 132.501, 302.139, 223.008
9,7,112.421, 133.233, 302.909, 212.519
9,8,117.059, 126.53, 294.55, 202.187
9,9,121.893, 120.679, 286.15, 189.234
9,10,126.756, 115.848, 277.714, 174.415
9,11,131.156, 112.67, 271.045, 159.064
9,12,135.323, 109.274, 263.125, 145.649
9,13,139.236, 105.906, 254.291, 134.496
9,14,142.374, 102.633, 246.409, 127.959
10,0,114.764, 90.9356, 235.544, 266.964
10,1,114.662, 94.8366, 243.335, 263.853
10,2,114.497, 99.6273, 252.972, 259.029
10,3,114.363, 104.718, 262.065, 253.059
10,4,113.522, 113.296, 274.354, 242.31
10,5,113.098, 125.478, 292.158, 223.21
10,6,113.879, 130.887, 300.192, 209.662
10,7,115.301, 132.245, 301.573, 199.739
10,8,119.481, 126.798, 294.917, 189.139
10,9,124.095, 122.385, 287.072, 174.627
10,10,128.153, 119.527, 280.186, 160.045
10,11,132.663, 115.841, 271.654, 145.312
10,12,136.304, 113.227, 264.894, 133.106
10,13,139.823, 110.315, 257.421, 122.36
10,14,142.638, 107.809, 250.802, 115.882
11,0,115.185, 87.8631, 229.255, 267.532
11,1,115.236, 91.6461, 237.06, 263.674
11,2,115.472, 97.1277, 248.144, 256.677
11,3,115.999, 102.799, 258.738, 246.95
11,4,116.513, 109.922, 270.103, 233.172
11,5,116.062, 121.588, 286.484, 214.768
11,6,116.17, 129.974, 297.788, 198.909
11,7,117.66, 131.593, 299.428, 188.213
11,8,121.412, 128.332, 294.278, 175.755
11,9,125.646, 124.74, 288.029, 161.576
11,10,129.741, 121.914, 281.22, 147.061
11,11,133.649, 120.395, 273.857, 130.784
11,12,137.534, 117.626, 265.454, 117.729
11,13,140.443, 115.252, 259.379, 109.087
11,14,143.07, 113.384, 253.576, 102.204
12,0,115.504, 82.6069, 218.376, 270.51
12,1,116.169, 84.9224, 223.702, 265.114
12,2,117.308, 91.8969, 238.8, 253.481
12,3,118.412, 98.9529, 253.046, 240.616
12,4,119.251, 105.736, 265.382, 227.688
12,5,118.538, 118.277, 281.444, 207.788
12,6,118.574, 130.349, 296.923, 185.112
12,7,118.395, 135.08, 302.212, 176.347
12,8,122.656, 131.556, 295.702, 162.089
12,9,127.069, 128.051, 288.257, 147.093
12,10,130.652, 125.664, 282.246, 134.147
12,11,134.456, 123.894, 274.881, 119.003
12,12,138.263, 122.73, 266.745, 102.733
12,13,140.945, 121.733, 260.926, 92.5689
12,14,143.626, 119.594, 255.435, 86.1629
13,0,115.89, 77.6177, 208.207, 271.591
13,1,117.175, 80.3806, 214.955, 264.318
13,2,118.72, 88, 232.351, 251.586
13,3,119.616, 94.4716, 246.414, 241.799
13,4,119.522, 102.433, 258.645, 229.705
13,5,119.575, 118.421, 280.806, 201.56
13,6,119.98, 130.64, 297.296, 177.761
13,7,120.831, 134.203, 300.161, 165.832
13,8,123.883, 132.962, 296.005, 152.477
13,9,127.364, 132.299, 290.346, 136.072
13,10,130.727, 130.318, 284.498, 123.13
13,11,134.514, 128.271, 276.469, 108.756
13,12,138.188, 128.223, 268.562, 90.4054
13,13,140.727, 128.736, 263.069, 77.162
13,14,143.258, 126.92, 257.287, 70.7286
14,0,119.049, 72.815, 199.621, 262.448
14,1,118.515, 78.4903, 211.89, 260.327
14,2,119.549, 85.5692, 228.439, 250.949
14,3,119.827, 90.74, 239.379, 245.407
14,4,119.834, 99.0121, 252.897, 232.999
14,5,120.074, 115.278, 275.532, 203.783
14,6,120.801, 130.002, 294.581, 173.736
14,7,121.637, 135.825, 299.987, 157.72
14,8,124.485, 135.1, 296.261, 144.586
14,9,126.776, 136.383, 293.24, 129.971
14,10,130.424, 135.06, 286.298, 114.211
14,11,134.321, 132.021, 277.841, 101.062
14,12,136.701, 134.333, 272.824, 83.5349
14,13,141.114, 133.354, 261.871, 65.2717
14,14,142.807, 134.305, 257.061, 55.3218
